,preprocess_texts
1149,۸ شیافک کص مامانت با اون دستات هم سایز ممه‌ها مادرتو نشون دادی
1150,۹۵۲۵ به قلک پول شون توهین شده
1151,بوچکده
1152,طلاق بگیرید؛ فرار کنید؛ مهاجرت کنید؛ استعفا بدید؛ ضربه متقابل بزنید؛ بجنگید؛ حتی خودتون و بقبه رو نابود کنید؛ ولی تحمل نکنید
1153,rt  ۹۸۲۲۹۵۴۸ بهاری دیگر در انقلاب در راه است رئیسی متشکریم
1154,ترکیب نهایی ثبت‌نام کنندگان تا دقایقی دیگر بازهم تغییر خواهد کرد به نظر می‌رسد با غیر قابل پیش‌بینی‌ترین انتخابات ریاست ج
1155,rt  ۸۰ اخبار شبانگاهی شبکه ۳ دیشب سه فرزندیک زندانی ایرانی رانشان می‌دادکودکان میگفتندبرای کمک به مادرشان زباله گردی وکارتن جمع
1156,بخوانیم فاتحه جهانگیری و لاریجانی راصل علی‌محمد یار رئیسی آمد  جلیلی
1157,۸۲ h خوش اومد
1158,rt  ۱۳۶۳۲۳ هم‌اکنون از این مکان دارمتون در دیده و دل ماسولهبعد از دو روز لذت بردن از بهشت اردیبهشت رسیدم اینجا / / t co / ۹۱۳
1159,rt  ۴ دوستان عزیزم لطفا از توییت زیر با  ریتوییت و لایک حمایت کنید خیلی ممنونم  ریتوییت لطفا
1160,عروسکیه بابا
1161,آخری انگار تو تراس کیمیا ایناس
1162,اندکی صبر سحر نزدیک است  / / t co / ۱۲ trnozl ۲ g
1163,هرموقع کسی این سوال رو از من میپرسه میگم که کشورمو خیلی دوست دارم ولی هرجا پیشنهاد کاری خوب باشه و‌بتونم پیشرفت کنم اوکیم
1164,۱ کشتار فجیع  سگ‌ها توسط مامورین شهرداری تبریز- هیچ جانداری از شر مزدوران رژیم کثیف آخوندی در امان نیست  نه به جم
1165,پیام همدردی کودکان مظلوم فلسطین با کودکان هردم شهید افغانستان  از فلسطین تا افغانستان یک امت یک خون / / t co /
1166,ای شما که گفتید گنبد آهنی دارید همه رو می‌زنید این از کجا اومد پس وقتی همه تو سوراخ موش هستید چطوری / / t co / jmedpa ۳۵ ap
1167,۲۲ elma   حالا چی
1168,توی خوابت هم نمی‌بینی
1169,۸۸ ما در مسائل اقتصادی عقب هستیم که راهکار آن هم شناساندن باکری‌ها و باقری‌هاست  آقامحسن ایران اقدام و تحول محسن رضایی
1170,با سرعت بالا فرمون رو یهویی چرخونده احتمال زیاد
1171,بخون منشنی که یکی از دوستان به اسم پزشک اشتباهی برام‌گذاشته
1172,۰۰۷۸۱۳ «مردم» حلقه مفقوده توسعه کشور هستند  آقامحسن ایران اقدام و تحول محسن رضایی
1173,کاری ک باید انجام بدیمریپورت کنید این لاشخور را آذری جهرمی بیشرف / / t co / qpeauqwisu
1174,قطعا حظور آقای جلیلی به خاطر اخلاص دوستان و رفقایی بود که از دیشب از جون مایه گذاشتناز امروز همت مضاعف می‌طلبه بر / / t co / zkxzgf ۸۶ rn
1175,۵ بسیار روشن و چشم‌اندازی بسیار زیبا و دلنشین در انتظار ملت صبور و شکور و شایسته ایران اسلامی است خدایا تو شاهدی / / t co / zy ۱ hkbfa ۴ e
1176,۹۸  ۰  ssein  نه عزیزم تو نیازی نیس خودتو به من ثابت کنی
1177,قشنگ اعصاب خراب میشه واقعا ‍♀️
1178,فکر کنم فقط اقای خامنه‌ای ثبت‌نام نکرده
1179,rt  ۳۴۲  محسن رضایی وضعیت کنونی اسراف وضعیت فعلی خودروی ملی وضعیت سنتی و عقب‌افتاده کشاورزی همه و همه نشان از فقدان مدیریت
1180,نمیدونم دیگه در حد پیشنهاد ازم برمیومد
1181,کلا ثبت‌نام چشم هم چشمی شده کسی جرات نداره بدون ثبت‌نام شب خونه بره اصلا راه نمیدن تازه شله زرد هم / / t co / vmqdpb ۹ inr
1182,۳۳۳   ۲۰۵   متاسفانه شما نه شناختی از جناح اصلاح‌طلب دارید نه شناختی از مردم و قشر خاکستر / / t co / nagkflzujh
1183,rt  ۱۳۰۳۰۷۷۶ وقتی اون دوستت که همش چسنالهمی‌کرد از تنهایی بالاخره ازدواج میکنه / / t co / gbxti ۶ xtbp
1184,محسن رضایی اگه  آقامحسن ایران حرف از اقدام نمی‌زد تا چند سال دیگه همه درگیر شعار می‌موندن  اقدام و تحول / / t co / bzdr
1185,به فردوسی تکست دادم نمیرسه شعرات به من
1186,دوستان وکیل خانواده / طلاق معتمد و مطمئن که گرون نباشه سراغ دارید خیلی ممنون میشم اگه ریتوییت کنید
1187,۷۴  ۲۴   ۱   ۳۱۳ یدوم وجودک یبعد چبدی
1188,۶۱۷۶۲۶۲۲ من یه تایمی قفل بودم رو اون تیکه فیلمش
1189,rt  ۶۱۰۰۰۲۸۹ گایز منم فالو کنید تا رای بدم / / t co / sfbiwajjss
1190,بفرست تکبیر رودوران لاریجانی‌ها تمام شد  سعید محمد / / t co / febe ۲ zfpg ۱
1191,نمی‌دونم این پدربزرگ و مادربزرگ چه ویژگی دارن که تا وقتی هستن جمع فامیلی جمعه و همه با هم خوبنولی تا از دنیا می‌رن انگا
1192,از این به بعد قهوه هاتو از من بگیر
1193,قلبم جریحه‌دار شد
1194,چهل ساله در سمت‌های مختلف خون مردمو تو شیشه کردین و از سفره انقلاب بردین مملکت ارثیه شما و برادران شما نیست آقای لاریجانی
1195,قیافه من وقتی‌که دوست دختر کراشم اومده بود دایرکتم باهام لاس بی‌مورد بزنه / / t co / eeoaixz ۳ pz
1196,rt  ۹۳ میگن وزیر ارتباطات هم حق دارد مثل یک شهروند عادی برای تیم رقیب کری بخواند خب پس چطور بامجری صدا وسیما بخاطر کری خواندن برا
1197,rt  ۴ ۷ / ۷و نکته جالب اینجاس که کمتر از یکماه به انتخابات مانده اما هنوز اسامی کاندیداهای رسمی اعلام‌نشدهرژیم مستاصل اکنون جنگ زرگر
1198,من دهن خودمو سرویس کردم الان فک کنم خودم تنها ۵ تا جیمیل جدا دارم فقط برای رای دادن به لویی و هری تو / / t co / bejnb ۳ bv ۶ e
1199,یه کریم باقری میخوام هرجا کم میارم بزنه تو گوشمیه کریم باقری میخوام واسه همه کارهایی که نصفه ولشون کردمیه کریم باقری
1200,اگه می‌شد قطعا میومد /
1201,۵۷ حضور جلیلی یعنی قدرت جبهه انقلاب
1202,دین اسلام یعنی دین قیام یعنی دین مبارزه یعنی دین امتحان اگر کسی بخواهد زیر سایه اسلام زندگی کند هیچ امکان ندارد / / t co / ihziy ۷ odqp
1203,rt  ۶۳۹۷ بانیان و شرکای وضع موجود نمی‌توانند تغییر دهنده وضع فعلی باشند  رئیسی متشکریم / / t co / geupq ۸۴ vg ۷
1204,پای چرم
1205,آره واللهمن که تموم شدم
1206,او دوگانه‌سوز هست و جیش هم میخوره
1207,خبر آمد خبری در راه است   جلیلی
1208,توفان توییتری آخوند قتل‌عام رئیسی جلاد سر دژخیم قوه قضاییه را بهتر بشناسیم یکشنبه ۲۶ اردیبهشت ۱۶ میساعت ۲۰۰۰ به
1209,۱ mozhdeh بخداهی سرم تو گوشی بود می‌گفتم بوی دود میاد
1210,چرا ماجرا رو کشیدی به فن اکس او
1211,دو تاتون کص نگید
1212,مرسی ممنون
1213,۷۵ غیرت و دلاوری
1214,به مولا با ۵ - ۱ قرارداد دارم حالا نتیجش دقیق نشد مهم نیست حداقل برنده رو مثل دیروز درسته زده باشه دیگه / / t co / q ۰ swepgvpl
1215,rt  ۹ zrlixuq تا که رفتیم همگی یار شدندخفته‌ایم و همه بیدار شدندقدر آیینه بدانیم چو هستنه در آن وقت که اقبال شکست شاهنشاه آریا
1216,‍ ترمای بهار تا حد مشروطی پیش میرم و ترمای پاییز تا الفی مجازی و غیر مجازیم نداره
1217,۱  محسن رضایی تنها کارشناس اقتصادی حاضر در بین کاندیداها هست به او نیاز هست چون مشکل امروز کشو / / t co / vn ۰ qmik ۰۹ g
1218,بازی‌های پرسپولیس تو مسابقات آسیایی همه ملی محسوب میشن ولی قهرمانی استقلال تو آسیا ملی نیست استا / / t co / dvxq ۳ z ۸ tbo
1219,۹۳۲۲ shahin  ۵ هرکسی هرجوری باشه بقیه رو هم اونجوری میبینه شاید شما بخاطر فیو همچین کاری می‌کنی و / / t co / rs ۹ ch ۸ mmmj
1220,متاسفام از مرگ همه انسان‌ها از ترسیدن هیچ انسانی خوشحال نمی‌شوم اما این آشی است که هفتاد سال است خو / / t co / kwzj ۷ gjiuf
1221,rt  ۱۴۸۵ همه‌چی به یه ورم وقتی یه‌ساله صدای جونگده رو نشنیدم دلم یه‌ذره شده واسه‌ش
1222,خیلی دلم برات تنگ شدهتازگیا دارم با یکی حرف می‌زنم وایب تورو میده برام بیشتر دلم برات تنگ میشه
1223,ایشالا امتحانا تموم میشه دوباره میایم استریمت پر قدرت
1224,ولی به نظرم گفته بوداز بس همه گفتن نمیایم و اومدن دیگه قر و قاطی شده
1225,منم یه دوست قدیمی به اسم ایدا دارم
1226,پنالتی دقیقه ۳ رو هم عینک نزده بودی و ندیدی
1227,rt  ۱ ای پسر فاطمه حمایتت می‌کنیم  رئیسی متشکریم
1228,۳۱۳ omin     ۹۹  ۱۱۰  ۱  / / t co / ltsrl ۵ nr ۸ l
1229,درد اومدن رئیسی یا تاج‌زاده نیست درد اینه که هنوز عده‌ای هستن که فکر میکنن این دوتا با هم فرق دارن
1230,rt  ۱ افغانی‌ها کشته میشن ولی فلسطینی‌ها شهید صداوسیما
